barrio,distrito,price,size,rooms,bathrooms
el Raval,Ciutat Vella,901.0,76,2,1
el Raval,Ciutat Vella,1675.0,136,3,2
el Raval,Ciutat Vella,3977.0,250,5,3
el Raval,Ciutat Vella,1152.0,110,3,2
el Raval,Ciutat Vella,838.0,80,2,1
el Raval,Ciutat Vella,1194.0,90,2,1
el Raval,Ciutat Vella,1110.0,80,2,1
el Raval,Ciutat Vella,796.0,86,2,1
el Raval,Ciutat Vella,750.0,75,1,1
el Raval,Ciutat Vella,2901.0,128,2,2
el Raval,Ciutat Vella,629.0,51,2,1
el Raval,Ciutat Vella,838.0,70,2,1
el Raval,Ciutat Vella,811.0,66,2,1
el Raval,Ciutat Vella,503.0,40,1,1
el Raval,Ciutat Vella,670.0,54,0,1
el Raval,Ciutat Vella,2721.0,130,3,2
el Raval,Ciutat Vella,649.0,85,2,1
el Raval,Ciutat Vella,587.0,50,1,1
el Raval,Ciutat Vella,897.0,70,2,1
el Raval,Ciutat Vella,649.0,71,1,1
el Raval,Ciutat Vella,775.0,104,2,2
el Raval,Ciutat Vella,608.0,65,2,1
el Raval,Ciutat Vella,838.0,150,3,2
el Raval,Ciutat Vella,1047.0,160,3,2
el Raval,Ciutat Vella,377.0,40,0,1
el Raval,Ciutat Vella,710.0,79,1,1
el Raval,Ciutat Vella,1173.0,94,2,2
el Raval,Ciutat Vella,1110.0,80,2,1
el Raval,Ciutat Vella,943.0,170,4,2
el Raval,Ciutat Vella,938.0,97,2,2
el Raval,Ciutat Vella,469.0,62,1,1
el Raval,Ciutat Vella,482.0,48,2,1
el Raval,Ciutat Vella,377.0,40,1,1
el Raval,Ciutat Vella,377.0,40,1,1
el Raval,Ciutat Vella,1051.0,69,3,1
el Raval,Ciutat Vella,1296.0,75,2,1
el Raval,Ciutat Vella,1110.0,95,2,2
el Raval,Ciutat Vella,1466.0,194,3,2
el Raval,Ciutat Vella,587.0,50,0,1
el Raval,Ciutat Vella,3935.0,380,9,5
el Raval,Ciutat Vella,1012.0,78,2,1
el Raval,Ciutat Vella,1047.0,90,2,1
el Raval,Ciutat Vella,1885.0,186,4,3
el Raval,Ciutat Vella,1089.0,93,2,2
el Raval,Ciutat Vella,2010.0,123,3,2
el Raval,Ciutat Vella,608.0,55,1,1
el Raval,Ciutat Vella,545.0,67,1,1
el Raval,Ciutat Vella,524.0,50,2,1
el Raval,Ciutat Vella,670.0,58,2,1
el Raval,Ciutat Vella,1047.0,117,2,2
Gotic,Ciutat Vella,901.0,60,1,1
